"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
7.998000390E-1	-8.413916081E-2	8.643105626E-3	1.340484619E-2	8.563755927E-2
8.097976050E-1	-9.182756394E-2	1.203541458E-2	1.360034943E-2	9.360620817E-2
8.197949380E-1	-1.009843275E-1	-1.938559115E-2	-7.008075714E-2	1.244385313E-1
8.297925040E-1	-1.026029065E-1	-1.686267555E-2	-6.999588013E-2	1.253440445E-1
8.397900700E-1	-1.140591800E-1	-2.922707796E-1	-1.129922867E-1	3.334650836E-1
8.497876030E-1	-1.108192056E-1	-2.844246626E-1	-1.128578186E-1	3.254461127E-1
8.597851690E-1	1.307249516E-1	-2.940778136E-1	3.471040726E-1	4.733413257E-1
8.698160690E-1	3.840747774E-1	-3.812314272E-1	4.024534225E-1	6.744031383E-1
8.798469690E-1	1.087533832E-1	-2.738636136E-1	1.585187912E-1	3.345994387E-1
8.898778350E-1	-2.561646700E-2	-2.452070117E-1	2.736139297E-1	3.683032236E-1
8.999087350E-1	-1.848043352E-1	-2.212006152E-1	9.641933441E-2	3.039392086E-1
9.099396010E-1	-2.825332284E-1	-1.182748675E-1	1.705665588E-1	3.505808330E-1
9.199419340E-1	-1.435075849E-1	-9.345918894E-2	2.926321030E-1	3.390613434E-1
9.299395000E-1	9.041401744E-2	-2.663825154E-1	1.561584473E-1	3.217449296E-1
9.399370330E-1	2.190116346E-1	-3.822723627E-1	-4.972839355E-2	4.433634722E-1
9.499345990E-1	2.204138935E-1	-3.810182810E-1	-4.970932007E-2	4.429765585E-1
9.599321320E-1	3.176600337E-1	-2.245438099E-1	1.495456696E-2	3.892961066E-1
9.699296980E-1	3.253670931E-1	-2.191442549E-1	1.502704620E-2	3.925732567E-1
9.799272640E-1	2.326638848E-1	-2.409011722E-1	3.909835815E-1	5.148145482E-1
9.899248300E-1	-5.915099382E-2	-2.330906689E-1	6.051731110E-2	2.479767024E-1
9.999223960E-1	-5.022844672E-2	-2.354970872E-1	6.036090851E-2	2.482442632E-1
1.009919962E0	-1.386493891E-1	-1.420259178E-1	1.703472137E-1	2.615591475E-1
1.019917495E0	2.146072686E-3	-9.832665324E-2	-1.099042892E-1	1.474845387E-1
1.029915028E0	7.331058383E-2	-2.788984776E-2	-1.363258362E-1	1.572800652E-1
1.039912594E0	1.548271775E-1	8.102449775E-2	2.778759003E-1	3.282551448E-1
1.049910127E0	1.323903948E-1	2.360045910E-4	2.637300491E-1	2.950945800E-1
1.059907660E0	-5.892679095E-3	-1.565976441E-1	1.872968674E-1	2.442082356E-1
1.069905226E0	-5.370099097E-3	-1.539939940E-1	1.873769760E-1	2.425966185E-1
1.079902792E0	-1.770568788E-1	4.312324524E-2	2.376775742E-1	2.994985507E-1
1.089900358E0	-1.800327897E-1	4.277414083E-2	2.376823425E-1	3.012213944E-1
1.099897924E0	-1.492058039E-1	-2.248975635E-2	1.299476624E-1	1.991345174E-1
1.109895490E0	-8.801013231E-2	2.085396200E-1	3.622798920E-1	4.271782727E-1
1.119893256E0	-2.483118773E-1	1.199689507E-1	6.163129807E-1	6.751985098E-1
1.129890856E0	-2.668649554E-1	1.278613508E-1	6.167345047E-1	6.840518100E-1
1.139888389E0	1.396306753E-1	-4.233416617E-1	3.683614731E-1	5.782776693E-1
1.149885955E0	9.878428280E-2	-4.129500985E-1	3.693237305E-1	5.627487328E-1
1.159883521E0	2.694519758E-1	-5.431068540E-1	7.298059464E-1	9.487813981E-1
1.169847721E0	2.187410891E-1	-5.274984837E-1	7.316074371E-1	9.280903816E-1
1.179811954E0	1.996013224E-1	-4.340552986E-1	8.584442139E-1	9.824312487E-1
1.189776187E0	3.438953757E-1	-1.522923708E-1	1.522408485E0	1.568178750E0
1.199740420E0	2.720544636E-1	-1.251279116E-1	1.526677132E0	1.555767878E0
1.209704653E0	7.732123137E-1	-3.253738582E-1	2.124125481E0	2.283776365E0
1.219697219E0	2.364450932E0	-2.057133317E-1	4.183799744E0	4.810106701E0
1.229728085E0	2.850047588E0	9.337654710E-2	7.039555550E0	7.595184841E0
1.239758985E0	2.096452475E0	-2.052268982E-1	6.473961830E0	6.808040308E0
1.249789851E0	2.059915781E0	-1.389485002E-1	6.481632233E0	6.802508075E0
1.259820751E0	1.412807703E0	6.923171878E-1	4.869510651E0	5.117368725E0
1.269851651E0	1.426013827E0	7.171589136E-1	4.870440483E0	5.125331486E0
1.279882517E0	-2.693838179E-1	5.772009492E-1	4.637024879E0	4.680569229E0
1.289913417E0	-6.341149807E-1	-3.482280970E-1	3.892282486E0	3.958942733E0
1.299944283E0	-1.518556356E0	-4.792681336E-1	3.705230713E0	4.032920280E0
1.309975183E0	-1.917072058E0	-3.652255535E-1	3.849059105E0	4.315531366E0
1.320011716E0	-1.378449917E0	-9.002344608E-1	4.266425133E0	4.573065675E0
1.330042649E0	-5.709660053E-1	-8.282624483E-1	4.770372391E0	4.875292156E0
1.340073515E0	-5.632332563E-1	-8.279498816E-1	4.769942284E0	4.873918557E0
1.350104415E0	-5.153687596E-1	-2.397214770E-1	4.756273270E0	4.790115527E0
1.360135315E0	-5.395403504E-1	7.677775621E-2	4.645557404E0	4.677414051E0
1.370166181E0	-7.902359962E-2	-5.050969124E-2	4.612222672E0	4.613176122E0
1.380197081E0	7.404822111E-1	-1.851645708E-1	4.040451050E0	4.111914944E0
1.390227947E0	5.467315912E-1	-3.441718221E-1	3.576622009E0	3.634500609E0
1.400258847E0	6.002562046E-1	-4.589588046E-1	3.422011375E0	3.504441831E0
1.410289747E0	5.984157324E-1	-4.126331806E-1	3.426757812E0	3.503003945E0
1.420320647E0	9.891362786E-1	-7.238974571E-1	5.112721443E0	5.257598184E0
1.430351480E0	4.983038306E-1	-6.058640480E-1	4.362366676E0	4.432338093E0
1.440382380E0	5.158851743E-1	-5.745593309E-1	4.364830017E0	4.432606120E0
1.450413280E0	-5.200314522E-2	2.548112273E-1	4.426179886E0	4.433813423E0
1.460444146E0	-4.128855467E-2	2.741040587E-1	4.427826881E0	4.436495089E0
1.470475046E0	-6.662982702E-2	2.945451736E-1	2.856908798E0	2.872825138E0
1.480505912E0	2.289133072E-1	1.738464832E-1	2.428391457E0	2.445344346E0
1.490536812E0	1.181339025E-1	-9.452283382E-2	2.311823845E0	2.316769232E0
1.500567678E0	3.308567405E-1	-3.522154093E-1	2.015938759E0	2.073048711E0
1.510598578E0	5.474663377E-1	-4.603148699E-1	2.981138229E0	3.065745311E0
1.520634678E0	1.047594547E0	-6.197532415E-1	4.114589691E0	4.290850352E0
1.530632244E0	1.069860458E0	-5.686528683E-1	4.120630264E0	4.295062428E0
1.540629810E0	2.129586935E-1	7.502138615E-2	2.939713478E0	2.948371575E0
1.550627376E0	2.312020063E-1	1.007368565E-1	2.942611694E0	2.953399036E0
1.560624942E0	-5.560230017E-1	4.977978468E-1	2.648065567E0	2.751220733E0
1.570622475E0	-7.400183678E-1	-2.441637516E-1	2.193285942E0	2.327605281E0
1.580620041E0	-4.242696166E-1	-7.425861359E-1	2.049603462E0	2.220881183E0
1.590617574E0	-4.246488214E-1	-7.305591106E-1	2.051557541E0	2.218768032E0
1.600615140E0	3.722333908E-1	-1.079445124E0	1.003175735E0	1.519908230E0
1.610612706E0	6.488749385E-1	-1.109924793E0	1.732205391E0	2.157198936E0
1.620604639E0	1.028221607E0	-1.002185822E0	2.631049156E0	2.997338112E0
1.630602172E0	6.441459060E-1	-1.556382179E-1	2.108843803E0	2.210513377E0
1.640599738E0	3.970659971E-1	7.911359072E-1	2.352562904E0	2.513585019E0
1.650597304E0	-3.319419622E-1	3.290586472E-1	1.891348839E0	1.948246773E0
1.660594837E0	-3.525719643E-1	-6.981539726E-1	9.792041779E-1	1.253222559E0
1.670592403E0	-2.272288501E-1	-1.578626513E0	2.748460770E-1	1.618405075E0
1.680589936E0	-4.106976986E-1	-1.703437209E0	2.366447449E-2	1.752407182E0
1.690587502E0	-3.001752794E-1	-1.564643741E0	-1.783304214E-1	1.603127248E0
1.700585068E0	-1.485509127E-1	-1.451682806E0	-7.741155624E-1	1.651879308E0
1.710582601E0	-1.995477676E-1	-1.102551937E0	-1.643546104E0	1.989141494E0
1.720580167E0	4.588723183E-2	-3.245599270E-1	-1.335385323E0	1.375026816E0
1.730577767E0	2.992364764E-2	1.637408733E-1	-8.598203659E-1	8.757839687E-1
1.740575333E0	-3.399095535E-1	1.595712900E-1	1.067543030E-2	3.756533854E-1
1.750572866E0	-3.411686718E-1	2.023608685E-1	1.783275604E-2	3.970692520E-1
1.760570432E0	4.411175847E-2	-1.168860197E-1	-1.237773895E-2	1.255444035E-1
1.770567965E0	9.966623783E-1	-7.949908972E-1	-6.575117111E-1	1.434457414E0
1.780565531E0	6.169421077E-1	-6.256581545E-1	-7.106838226E-1	1.130104945E0
1.790563097E0	-3.748844564E-2	-7.013273239E-1	-1.424816132E0	1.588510752E0
1.800560663E0	-1.248477340E0	1.778038740E-1	-1.800242424E0	2.197995148E0
1.810558229E0	-9.361470938E-1	6.271038055E-1	-8.323602676E-1	1.400876218E0
1.820552962E0	-9.114784002E-1	6.385383606E-1	-8.308134079E-1	1.388803453E0
1.830550528E0	2.079352140E0	1.313999176E0	-6.736326218E-1	2.550309798E0
1.840548061E0	2.086184025E0	1.286077738E0	-6.787796021E-1	2.543010319E0
1.850545627E0	8.999770880E-1	-2.506476641E-1	-4.230483055E0	4.332409248E0
1.860543160E0	5.384659022E-2	-2.122032642E-2	-4.909566402E0	4.909907537E0
1.870540726E0	9.405256808E-2	-5.177903175E-2	-4.914986134E0	4.916158627E0
1.880538292E0	-2.228245884E-1	2.536091805E-1	-5.492379189E0	5.502744548E0
1.890535858E0	2.383697964E-2	1.315299273E-1	-5.341322899E0	5.342995287E0
1.900533424E0	-1.042102098E0	5.526536703E-1	-1.814098358E0	2.163875162E0
1.910530957E0	-7.933855057E-1	9.960304499E-1	-1.075922012E0	1.667076901E0
1.920528490E0	-3.739358187E-1	1.279947996E0	-2.832965851E-1	1.363213785E0
1.930526090E0	-6.167663336E-1	1.566504240E0	3.241796494E-1	1.714476214E0
1.940523656E0	4.763003886E-1	1.290324926E0	-1.269734383E0	1.871904345E0
1.950521189E0	4.795263410E-1	1.261707425E0	-1.275224686E0	1.856892333E0
1.960518755E0	7.772313952E-1	-7.801381350E-1	-5.725130558E0	5.830079250E0
1.970516321E0	7.637624741E-1	-8.434020281E-1	-5.736464024E0	5.848220207E0
1.980513921E0	-2.978454530E-1	-1.327655911E0	-5.864487648E0	6.020265568E0
1.990511487E0	-1.278112382E-1	-1.571902871E0	-4.078322411E0	4.372633993E0
2.000509020E0	-1.450119019E-1	-1.539507151E0	-4.072599411E0	4.356280143E0
2.010506586E0	-9.813328087E-2	-1.284089088E-1	-1.324873924E0	1.334694686E0
2.020504119E0	2.110957801E-1	9.439752102E-1	1.434535980E-1	9.778699099E-1
2.030501652E0	2.840831876E-1	1.406118155E0	1.516790390E0	2.087707980E0
2.040499218E0	-3.017847538E-1	1.394512892E0	5.896577835E-1	1.543838251E0
2.050496784E0	-4.949028492E-1	7.157310247E-1	-1.501028061E0	1.735017282E0
2.060494350E0	-1.652202457E-1	-3.829438686E-1	-3.513637543E0	3.538303621E0
2.070491916E0	-2.056526989E-1	-4.829944372E-1	-3.532058716E0	3.570856400E0
2.080489482E0	-6.431561708E-2	-1.068238974E0	-4.443555832E0	4.570608213E0
2.090487015E0	-9.366872907E-2	-1.158052564E0	-4.458102226E0	4.607009337E0
2.100484581E0	-2.401874661E-1	6.730985641E-2	-2.352902889E0	2.366088046E0
2.110482114E0	-2.469794750E-1	3.491997719E-2	-2.357828617E0	2.370985882E0
2.120477247E0	1.509480178E-1	6.084603071E-1	-1.509596825E0	1.634592250E0
2.130474813E0	-4.568132460E-1	9.222475290E-1	-2.621503830E0	2.816292097E0
2.140472679E0	-1.068656802E0	9.423719645E-1	-3.553453922E0	3.828462754E0
2.150470245E0	-7.072575092E-1	1.017017007E0	-4.426468372E0	4.596537722E0
2.160467811E0	-3.977875412E-1	9.319981337E-1	-4.602021217E0	4.712266412E0
2.170465377E0	-1.604581922E-1	-2.630984783E-2	-4.417038441E0	4.420030274E0
2.180462910E0	-1.751107126E-1	-7.010436058E-2	-4.421940327E0	4.425961436E0
2.190460476E0	-3.548822999E-1	5.476213694E-1	-2.787250996E0	2.862620954E0
2.200458009E0	1.104969084E-1	2.435034513E-1	-2.610366821E0	2.624027141E0
2.210455575E0	3.931114078E-1	-7.919013500E-2	-3.034832001E0	3.061211023E0
2.220453141E0	1.367185712E-1	5.806374550E-2	-3.419082642E0	3.422307624E0
2.230450641E0	-4.442311525E-1	9.009427428E-1	-3.324499607E0	3.472943533E0
2.240448274E0	-4.304827750E-1	8.816480041E-1	-3.327116489E0	3.468763866E0
2.250445840E0	-1.086039901E0	2.018540859E0	-2.512608528E0	3.401057406E0
2.260443406E0	-7.307879925E-1	1.067078233E0	-2.145666122E0	2.505312386E0
2.270440939E0	9.675437212E-2	7.419621944E-1	-2.937490463E0	3.031290077E0
2.280438472E0	6.097170711E-2	7.194123268E-1	-2.938015938E0	3.025427126E0
2.290436005E0	1.613220870E-1	2.828055024E-1	-3.360404015E0	3.376139646E0
2.300433571E0	-1.365023553E-1	-5.847835541E-1	-2.542428017E0	2.612382996E0
2.310431137E0	-3.136619031E-1	3.392261267E-2	-1.899349213E0	1.925373201E0
2.320428737E0	-5.037954450E-1	7.183873653E-1	-9.889001846E-1	1.322049104E0
2.330426303E0	-5.046889782E-1	7.064753175E-1	-9.898271561E-1	1.316653386E0
2.340423836E0	-6.639868021E-2	9.418508410E-1	-1.223266602E0	1.545274400E0
2.350421402E0	-6.111618876E-2	9.354122877E-1	-1.224037170E0	1.541751709E0
2.360418935E0	1.331077516E-1	9.001638889E-1	-1.506945610E0	1.760368647E0
2.370416501E0	6.034204364E-2	2.380713224E-1	-1.430765152E0	1.451691440E0
2.380414067E0	1.458496153E-1	-8.463853598E-2	-9.331588745E-1	9.482727863E-1
2.390411633E0	-1.067253053E-1	-7.555621862E-2	-4.292964935E-2	1.376298941E-1
2.400409199E0	-3.593762219E-1	-3.301513195E-2	4.426116943E-1	5.710922690E-1
2.410406765E0	-4.360930324E-1	1.799142957E-1	5.690603256E-1	7.391724703E-1
2.420404331E0	-2.530906498E-1	4.387443662E-1	4.801959991E-1	6.979539336E-1
2.430401864E0	3.126249015E-1	9.726018906E-1	3.366737366E-1	1.075656995E0
2.440399197E0	2.995386124E-1	9.717704058E-1	3.372507095E-1	1.071353883E0
2.450396730E0	3.781394362E-1	8.430445790E-1	4.026823044E-1	1.007902095E0
2.460394296E0	1.867628694E-1	7.141321301E-1	4.126482010E-1	8.456616383E-1
2.470391862E0	1.907819211E-1	7.168250084E-1	4.126539230E-1	8.488339616E-1
2.480389428E0	3.442482352E-1	8.316338062E-1	1.056760788E0	1.388115629E0
2.490386994E0	7.016944885E-1	7.925593257E-1	1.128494263E0	1.547263630E0
2.500384560E0	7.743990421E-1	1.001907587E0	6.656980515E-1	1.430617554E0
2.510382126E0	7.738327980E-1	9.819238186E-1	6.642169952E-1	1.415689161E0
2.520379659E0	-4.184663296E-3	8.615506291E-1	-1.205284119E0	1.481552161E0
2.530377225E0	3.876429796E-2	9.867931604E-1	-9.742546082E-1	1.387240229E0
2.540374691E0	2.332508564E-2	9.700800180E-1	-9.745740891E-1	1.375279592E0
2.550372257E0	7.691116333E-1	7.532894611E-1	-7.607545853E-1	1.318228074E0
2.560369823E0	6.986699104E-1	3.830420673E-1	-4.818668365E-1	9.311586960E-1
2.570367389E0	6.457611322E-1	4.117038846E-1	3.478050232E-1	8.411158438E-1
2.580364955E0	4.066724181E-1	1.075429440E0	1.124835014E0	1.608472799E0
2.590362521E0	2.642990947E-1	1.619879603E0	1.425081253E0	2.173642224E0
2.600360087E0	5.886604190E-1	1.700839758E0	1.121390343E0	2.120587954E0
2.610357620E0	8.267578483E-1	1.612104535E0	8.838872910E-1	2.015853743E0
2.620355153E0	8.602389097E-1	1.648372769E0	6.837625504E-1	1.981079250E0
2.630352686E0	5.849395394E-1	1.657863855E0	1.639957428E-1	1.765661755E0
2.640349119E0	5.895946026E-1	1.605353355E0	1.603174210E-1	1.717696966E0
2.650346685E0	2.992691994E-1	1.337919116E0	-1.002749443E0	1.698557052E0
2.660344251E0	-3.963735700E-2	1.325413704E0	-1.329998970E0	1.878081432E0
2.670341817E0	-1.758385599E-1	1.030807853E0	-1.268754959E0	1.644148161E0
2.680339350E0	2.125296295E-1	9.333847165E-1	-1.046036720E0	1.417945236E0
2.690336916E0	2.316917181E-1	8.686584234E-1	-5.923490524E-1	1.076627098E0
2.700334449E0	2.206609845E-1	8.417035341E-1	-5.928239822E-1	1.052899038E0
2.710332015E0	3.576424122E-1	8.092890978E-1	1.377592087E-1	8.954521419E-1
2.720329581E0	5.522868633E-1	6.865166426E-1	7.199888229E-1	1.137853147E0
2.730327147E0	-1.416536868E-1	1.007349491E0	9.194021225E-1	1.371174324E0
2.740324947E0	-2.087668478E-1	1.345340014E0	1.327446938E0	1.901483295E0
2.750322513E0	6.951427460E-2	1.582207203E0	1.017883301E0	1.882630681E0
2.760320079E0	1.982647181E-2	1.560119867E0	1.020243645E0	1.864206047E0
2.770317612E0	3.462932110E-1	8.847415447E-2	-4.591798782E-1	5.818872954E-1
2.780315178E0	3.769007325E-1	5.628020763E-1	-7.701148987E-1	1.025610694E0
2.790312711E0	3.350028992E-1	5.077443123E-1	-7.678918839E-1	9.796372667E-1
2.800310277E0	2.087525129E-1	1.317682266E0	-5.017108917E-1	1.425334342E0
2.810307843E0	-7.360020876E-1	1.439397097E0	-7.655172348E-1	1.788736904E0
2.820305409E0	-7.233614326E-1	1.396820664E0	-7.666196823E-1	1.749875844E0
2.830302975E0	-7.357639074E-1	1.299363971E0	-7.801742554E-1	1.684745418E0
2.840300575E0	-2.837501168E-1	1.088006616E0	-4.753141403E-1	1.220735867E0
2.850298141E0	2.531854510E-1	2.569512129E-1	-2.301750183E-1	4.279104316E-1
2.860295674E0	2.710626721E-1	2.520312071E-1	-2.314023972E-1	4.365109059E-1
2.870293240E0	-6.333395839E-1	-2.587907910E-1	-7.752513885E-2	6.885505422E-1
2.880290773E0	-5.281338096E-1	-1.925545037E-1	5.863780975E-1	8.123064883E-1
2.890288339E0	-5.073515177E-1	-1.709734499E-1	5.849189758E-1	7.929487319E-1
2.900285905E0	-4.390888214E-1	1.264549613E0	2.697963715E-1	1.365530959E0
2.910283471E0	-4.217424393E-1	1.275495291E0	2.687301636E-1	1.370025847E0
2.920281037E0	-8.390352726E-1	1.897996545E0	3.182077408E-1	2.099434981E0
2.930278603E0	-7.836444378E-1	1.123861194E0	-3.500642776E-1	1.414110175E0
2.940277303E0	-5.131132007E-1	7.360357046E-1	-9.340438843E-1	1.295172457E0
2.950274836E0	-9.354189634E-1	1.117663011E-1	-1.366934776E0	1.660123798E0
2.960272402E0	-1.306798935E0	-3.962623179E-1	-1.050614357E0	1.722944517E0
2.970269935E0	-1.307194471E0	-3.930054903E-1	-1.050620079E0	1.722502032E0
2.980267501E0	-8.598006964E-1	-2.035001665E-2	1.059427261E-1	8.665421062E-1
2.990265067E0	-8.498626947E-1	-1.105107367E-4	1.052589417E-1	8.563562675E-1
3.000262633E0	-7.762026191E-1	-1.852172613E-1	2.935667038E-1	8.502807474E-1
3.010260199E0	-5.752637982E-1	-1.529097408E-1	1.650040627E0	1.754121973E0
3.020257732E0	1.471322775E-2	-8.504875749E-2	1.692196846E0	1.694396629E0
3.030255298E0	-1.877800524E-1	-1.561346203E-1	3.479890823E-1	4.251302967E-1
3.039978022E0	-3.740003109E-1	-2.777218223E-1	6.891794205E-1	8.318496960E-1
3.049975588E0	-4.751825929E-1	-1.072843000E-2	7.310667038E-1	8.719931887E-1
3.059973121E0	-6.678243876E-1	4.325811863E-1	5.695085526E-1	9.784967485E-1
