"Time (s)"	"Magnetic Field x (µT)"	"Magnetic Field y (µT)"	"Magnetic Field z (µT)"	"Absolute field (µT)"
8.648881970E-1	5.999999866E-2	2.219999886E1	-4.025999832E1	4.597511299E1
8.749190630E-1	4.199999869E-1	2.184000015E1	-3.984000015E1	4.543553256E1
8.849499630E-1	1.199999973E-1	2.213999939E1	-4.020000076E1	4.589372544E1
8.949808630E-1	-5.999999866E-2	2.213999939E1	-4.061999893E1	4.626194425E1
9.050117290E-1	-5.999999866E-2	2.202000046E1	-4.068000031E1	4.625739341E1
9.150416620E-1	-1.799999923E-1	2.184000015E1	-4.104000092E1	4.648978040E1
9.250724950E-1	-1.799999923E-1	2.189999962E1	-4.073999786E1	4.625353834E1
9.351033610E-1	-4.199999869E-1	2.160000038E1	-4.061999893E1	4.600783335E1
9.451342270E-1	-2.999999821E-1	2.129999924E1	-4.050000000E1	4.576057219E1
9.551651600E-1	-2.399999946E-1	2.177999878E1	-4.079999924E1	4.625003659E1
9.651960260E-1	-1.799999923E-1	2.171999931E1	-4.073999786E1	4.616858451E1
9.752269260E-1	5.999999866E-2	2.184000015E1	-4.055999756E1	4.606628494E1
9.852577920E-1	4.799999893E-1	2.195999908E1	-4.020000076E1	4.580951889E1
9.952886580E-1	1.199999973E-1	2.177999878E1	-4.031999969E1	4.582668570E1
1.005319558E0	-2.999999821E-1	2.250000000E1	-4.104000092E1	4.680407755E1
1.015348524E0	-5.999999642E-1	2.297999954E1	-4.163999939E1	4.756395619E1
1.025379424E0	-5.999999642E-1	2.310000038E1	-4.218000031E1	4.809493158E1
1.035410290E0	-1.019999981E0	2.310000038E1	-4.193999863E1	4.789168928E1
1.045441190E0	-1.019999981E0	2.297999954E1	-4.187999725E1	4.778132427E1
1.055472056E0	-1.199999928E0	2.292000008E1	-4.223999786E1	4.807269311E1
1.065502956E0	-1.439999938E0	2.310000038E1	-4.236000061E1	4.827062532E1
1.075533856E0	-7.199999690E-1	2.292000008E1	-4.200000000E1	4.785232286E1
1.085564722E0	-4.199999869E-1	2.273999977E1	-4.200000000E1	4.776278875E1
1.095595622E0	5.999999866E-2	2.279999924E1	-4.127999878E1	4.715805196E1
1.105626488E0	3.599999845E-1	2.226000023E1	-4.050000000E1	4.621565979E1
1.115657388E0	4.799999893E-1	2.237999916E1	-4.025999832E1	4.606476123E1
1.125687954E0	5.999999642E-1	2.171999931E1	-3.965999985E1	4.522205168E1
1.135718854E0	7.199999690E-1	2.105999947E1	-3.936000061E1	4.464584668E1
1.145716354E0	4.799999893E-1	2.105999947E1	-3.929999924E1	4.458972883E1
1.155713887E0	5.999999642E-1	2.076000023E1	-3.929999924E1	4.445028177E1
1.165711453E0	5.399999619E-1	2.100000000E1	-3.954000092E1	4.477391286E1
1.175709019E0	3.599999845E-1	2.160000038E1	-3.995999908E1	4.542566613E1
1.185706585E0	0.000000000E0	2.231999969E1	-4.068000031E1	4.640091390E1
1.195704118E0	-2.999999821E-1	2.285999870E1	-4.104000092E1	4.697819937E1
1.205701684E0	2.399999946E-1	2.255999947E1	-4.073999786E1	4.656993238E1
1.215700184E0	4.199999869E-1	2.213999939E1	-4.050000000E1	4.615848755E1
1.225697784E0	9.599999785E-1	2.153999901E1	-3.989999771E1	4.535309223E1
1.235695317E0	1.259999990E0	2.129999924E1	-3.959999847E1	4.498263495E1
1.245692917E0	2.999999821E-1	2.219999886E1	-4.025999832E1	4.597605261E1
1.255690450E0	-5.999999866E-2	2.261999893E1	-4.086000061E1	4.670340032E1
1.265688016E0	-3.599999845E-1	2.285999870E1	-4.157999802E1	4.745108403E1
1.275685582E0	-8.399999738E-1	2.321999931E1	-4.247999954E1	4.841925577E1
1.285683115E0	-5.399999619E-1	2.297999954E1	-4.254000092E1	4.835311424E1
1.295680715E0	-8.999999762E-1	2.297999954E1	-4.223999786E1	4.809477933E1
1.305678248E0	-1.439999938E0	2.292000008E1	-4.181999969E1	4.771071554E1
1.315676981E0	-1.500000000E0	2.310000038E1	-4.175999832E1	4.774680594E1
1.325674647E0	-1.439999938E0	2.315999985E1	-4.175999832E1	4.777401650E1
1.335672247E0	-1.439999938E0	2.303999901E1	-4.187999725E1	4.782101342E1
1.345669813E0	-1.079999924E0	2.363999939E1	-4.229999924E1	4.846963902E1
1.355667379E0	-7.799999714E-1	2.327999878E1	-4.241999817E1	4.839445204E1
1.365664945E0	-1.379999995E0	2.351999855E1	-4.265999985E1	4.873366720E1
1.375662478E0	-7.199999690E-1	2.363999939E1	-4.277999878E1	4.888247402E1
1.385660044E0	-6.599999666E-1	2.334000015E1	-4.229999924E1	4.831646865E1
1.395657577E0	-1.079999924E0	2.345999908E1	-4.200000000E1	4.812003696E1
1.405655177E0	-8.999999762E-1	2.297999954E1	-4.187999725E1	4.777891322E1
1.415652743E0	-9.599999785E-1	2.292000008E1	-4.175999832E1	4.764604352E1
1.425650243E0	-1.079999924E0	2.310000038E1	-4.205999756E1	4.799812301E1
1.435647809E0	-7.199999690E-1	2.339999962E1	-4.265999985E1	4.866162728E1
1.445645375E0	-4.799999893E-1	2.351999855E1	-4.247999954E1	4.855894452E1
1.455642941E0	-7.199999690E-1	2.351999855E1	-4.247999954E1	4.856190990E1
1.465640474E0	-5.399999619E-1	2.351999855E1	-4.259999847E1	4.866458468E1
1.475638040E0	-4.799999893E-1	2.321999931E1	-4.218000031E1	4.815133637E1
1.485635573E0	-3.599999845E-1	2.315999985E1	-4.193999863E1	4.791115400E1
1.495633173E0	-5.999999866E-2	2.285999870E1	-4.200000000E1	4.781823021E1
1.505630739E0	2.999999821E-1	2.231999969E1	-4.134000015E1	4.698157084E1
1.515628305E0	5.399999619E-1	2.202000046E1	-4.086000061E1	4.641887192E1
1.525624738E0	1.139999986E0	2.184000015E1	-4.061999893E1	4.613317158E1
1.535622304E0	1.079999924E0	2.160000038E1	-4.025999832E1	4.570113654E1
1.545619837E0	9.599999785E-1	2.129999924E1	-4.013999939E1	4.545141492E1
1.555617370E0	1.079999924E0	2.118000031E1	-3.959999847E1	4.492124989E1
1.565614936E0	2.999999821E-1	2.129999924E1	-3.959999847E1	4.496598544E1
1.575612469E0	0.000000000E0	2.160000038E1	-3.959999847E1	4.510786955E1
1.585610035E0	1.199999973E-1	2.177999878E1	-3.959999847E1	4.519449774E1
1.595607568E0	-2.399999946E-1	2.153999901E1	-3.984000015E1	4.529078018E1
1.605605134E0	5.999999866E-2	2.160000038E1	-3.971999741E1	4.521329241E1
1.615602667E0	6.599999666E-1	2.118000031E1	-3.954000092E1	4.486022387E1
1.625599900E0	1.799999923E-1	2.142000008E1	-4.002000046E1	4.539217157E1
1.635597433E0	4.799999893E-1	2.153999901E1	-3.984000015E1	4.529268781E1
1.645594966E0	3.599999845E-1	2.153999901E1	-3.977999878E1	4.523880480E1
1.655592532E0	0.000000000E0	2.195999908E1	-4.007999802E1	4.570172645E1
1.665590065E0	1.799999923E-1	2.160000038E1	-3.959999847E1	4.510822869E1
1.675587631E0	5.999999866E-2	2.153999901E1	-3.977999878E1	4.523741217E1
1.685585197E0	-5.999999866E-2	2.129999924E1	-4.002000046E1	4.533535049E1
1.695582763E0	-2.999999821E-1	2.118000031E1	-3.989999771E1	4.517402163E1
1.705580296E0	-1.799999923E-1	2.142000008E1	-4.007999802E1	4.544507723E1
1.715577829E0	4.799999893E-1	2.153999901E1	-4.055999756E1	4.592728339E1
