"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.939306860E-1	-6.703969836E-2	-6.703969836E-2	9.840469360E0	9.840926068E0
1.959303190E-1	-6.225114316E-2	-6.464541703E-2	9.814132690E0	9.814543020E0
1.979316520E-1	-6.225114316E-2	-7.901106775E-2	9.847652435E0	9.848166146E0
1.999328180E-1	-5.506832153E-2	-9.098244458E-2	9.859623909E0	9.860197460E0
2.019338840E-1	-6.703969836E-2	-8.379961550E-2	9.873989105E0	9.874572272E0
2.039349170E-1	-7.661679387E-2	-7.901106775E-2	9.840469360E0	9.841084804E0
2.059362500E-1	-7.182824612E-2	-8.379961550E-2	9.830892563E0	9.831512104E0
2.079376160E-1	-6.464541703E-2	-8.619388938E-2	9.842864037E0	9.843453706E0
2.099345490E-1	-6.943397224E-2	-7.422251999E-2	9.864412308E0	9.864935896E0
2.119358820E-1	-6.225114316E-2	-7.182824612E-2	9.859623909E0	9.860082055E0
2.139362480E-1	-7.182824612E-2	-8.619388938E-2	9.871595383E0	9.872232984E0
2.159373140E-1	-8.379961550E-2	-7.661679387E-2	9.859623909E0	9.860277691E0
2.179393140E-1	-7.661679387E-2	-7.422251999E-2	9.854835510E0	9.855412830E0
2.199406800E-1	-8.140534163E-2	-7.901106775E-2	9.852440834E0	9.853093929E0
2.219417460E-1	-5.985686928E-2	-8.140534163E-2	9.847652435E0	9.848170803E0
2.239470460E-1	-7.182824612E-2	-6.225114316E-2	9.845257759E0	9.845716573E0
2.259484120E-1	-6.703969836E-2	-5.746259540E-2	9.835680962E0	9.836077280E0
2.279494780E-1	-7.182824612E-2	-6.943397224E-2	9.845257759E0	9.845764608E0
2.299510110E-1	-5.985686928E-2	-7.661679387E-2	9.845257759E0	9.845737825E0
2.319523440E-1	-6.703969836E-2	-7.422251999E-2	9.852440834E0	9.852948477E0
2.339536770E-1	-6.943397224E-2	-7.182824612E-2	9.857229233E0	9.857735466E0
2.359547430E-1	-5.985686928E-2	-7.661679387E-2	9.871595383E0	9.872074168E0
2.379567090E-1	-6.464541703E-2	-8.140534163E-2	9.854835510E0	9.855383747E0
2.399580420E-1	-7.422251999E-2	-7.661679387E-2	9.866806030E0	9.867382650E0
2.419621420E-1	-7.182824612E-2	-8.619388938E-2	9.862017632E0	9.862655852E0
2.439635080E-1	-6.703969836E-2	-8.379961550E-2	9.857229233E0	9.857813391E0
2.459651080E-1	-5.985686928E-2	-8.619388938E-2	9.854835510E0	9.855394217E0
2.479666410E-1	-5.027977005E-2	-9.337671846E-2	9.850046158E0	9.850617066E0
2.499680070E-1	-6.703969836E-2	-8.140534163E-2	9.847652435E0	9.848217079E0
2.519693400E-1	-7.901106775E-2	-6.943397224E-2	9.847652435E0	9.848214169E0
2.539706730E-1	-6.703969836E-2	-5.985686928E-2	9.850046158E0	9.850456156E0
2.559759730E-1	-6.464541703E-2	-6.703969836E-2	9.854835510E0	9.855275556E0
2.579773060E-1	-5.506832153E-2	-7.422251999E-2	9.854835510E0	9.855268867E0
2.599821720E-1	-5.985686928E-2	-7.901106775E-2	9.850046158E0	9.850544904E0
2.619838050E-1	-6.225114316E-2	-9.098244458E-2	9.847652435E0	9.848269467E0
2.639851710E-1	-5.746259540E-2	-8.619388938E-2	9.859623909E0	9.860168100E0
2.659865040E-1	-5.746259540E-2	-8.619388938E-2	9.850046158E0	9.850590878E0
2.679878370E-1	-6.464541703E-2	-8.858817071E-2	9.833286285E0	9.833897806E0
