"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.278129824E0	-5.075960755E-1	-3.507315516E-1	-1.060848236E-1	6.260354519E-1
1.288127390E0	-7.335086465E-1	-3.035082817E-1	1.642789841E-1	8.106415954E-1
1.298123756E0	-4.367908239E-1	-6.939494014E-1	-1.000404358E-3	8.199713387E-1
1.308121322E0	-1.343838722E-1	-1.197414160E0	9.125900269E-2	1.208382349E0
1.318118888E0	-3.153677285E-2	-9.486639500E-1	1.105772972E0	1.457289170E0
1.328116421E0	4.649219811E-1	-6.415245533E-1	7.581663132E-1	1.096595805E0
1.338113987E0	4.265953898E-1	-7.094748020E-1	7.522153854E-1	1.118555366E0
1.348111520E0	1.051313043E0	-8.163970709E-1	-3.585882187E-1	1.378531393E0
1.358109086E0	4.979579449E-1	-5.016261339E-2	-7.500047684E-1	9.016571162E-1
1.368106652E0	1.277701259E-1	5.418553948E-1	-9.956407547E-1	1.140715997E0
1.378105018E0	-3.537803888E-1	7.411060333E-1	-9.588317871E-1	1.262440934E0
1.388102584E0	-4.114305973E-1	2.541016042E-1	-5.968799591E-1	7.681851647E-1
1.398100084E0	-2.337259352E-1	-3.645398617E-1	2.741012573E-1	5.124925588E-1
1.408097650E0	-2.136105746E-1	-3.259226084E-1	2.764472961E-1	4.777846081E-1
1.418095183E0	2.785472870E-1	-2.507999539E-1	1.227188110E-1	3.943971533E-1
1.428092749E0	2.215369344E-1	-1.487622857E-1	-7.467441559E-1	7.929915922E-1
1.438090282E0	5.395549536E-2	-6.948840618E-2	-2.158457279E0	2.160249444E0
1.448087848E0	6.392908096E-2	-2.072857618E-1	-3.127214432E0	3.134728763E0
1.458085414E0	4.874500632E-2	-2.754993737E-1	-3.130357742E0	3.142835595E0
1.468083014E0	-2.965866923E-1	-4.005357027E-1	-3.695268631E0	3.728726696E0
1.478080580E0	-5.297604799E-1	-5.406020880E-1	-4.338397980E0	4.403929361E0
1.488078146E0	-7.009521127E-1	-4.473035932E-1	-4.288593292E0	4.368460460E0
1.498076279E0	2.498626560E-1	-1.040508151E-1	-3.421204090E0	3.431893842E0
1.508073812E0	2.773540020E-1	-5.065244436E-2	-3.419317722E0	3.430921829E0
1.518071378E0	-5.021085143E-1	-8.162083030E-1	-2.703484535E0	2.868298727E0
1.528102278E0	-5.000384450E-1	-7.929465175E-1	-2.702239037E0	2.860226990E0
1.538133178E0	-6.313582659E-1	-2.850001454E-1	-2.597094059E0	2.687886883E0
1.548164044E0	3.459007442E-1	1.311462760E0	-3.642229080E0	3.886568482E0
1.558194944E0	2.830330431E-1	1.112500906E0	-3.921423912E0	4.085992103E0
1.568225810E0	4.054584205E-1	3.755778968E-1	-4.411301613E0	4.445788705E0
1.578256710E0	5.222843289E-1	-7.611113787E-2	-4.723937511E0	4.753331404E0
1.588287610E0	5.243408680E-1	-1.176302433E-1	-4.725323200E0	4.755780647E0
1.598319643E0	-5.079075694E-1	-2.120984197E-1	-3.496249199E0	3.539309862E0
1.608350609E0	-6.474463940E-1	-2.042451203E-1	-3.265756130E0	3.335575813E0
1.618381475E0	-5.065110922E-1	-1.116974354E-1	-2.369366169E0	2.425474355E0
1.628445708E0	-9.021504223E-2	-5.135567486E-2	-1.419870377E0	1.423660088E0
1.638509908E0	2.610160410E-1	-1.823507249E-1	-1.616869926E0	1.647922789E0
1.648607474E0	4.321441054E-1	-5.570624471E-1	-2.519801617E0	2.616575488E0
1.658705040E0	2.685029805E-1	-7.498793602E-1	-2.943228722E0	3.049099574E0
1.668802573E0	1.640818715E-1	-8.111323118E-1	-3.540873051E0	3.636294879E0
1.678900106E0	3.744789958E-1	-7.258071899E-1	-4.293834686E0	4.370817648E0
1.688997639E0	1.751944721E-1	-5.199260712E-1	-4.443278790E0	4.477023858E0
1.699095172E0	-5.792838335E-2	-2.449662983E-1	-4.281661987E0	4.289055089E0
1.709192705E0	-2.706264555E-1	-5.305580795E-2	-3.849985600E0	3.859850090E0
1.719290238E0	3.066778183E-3	-1.967847347E-4	-2.856413841E0	2.856415494E0
