"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.919395510E-1	7.182824425E-3	-1.412622184E-1	9.804554939E0	9.805575157E0
1.939408840E-1	1.436564885E-2	-1.460507661E-1	9.814132690E0	9.815229883E0
1.959422170E-1	4.788549617E-3	-1.460507661E-1	9.806949615E0	9.808038260E0
1.979435830E-1	0.000000000E0	-1.580221355E-1	9.804554939E0	9.805828295E0
1.999446830E-1	7.182824425E-3	-1.388679445E-1	9.811738014E0	9.812723310E0
2.019470160E-1	4.788549617E-3	-1.412622184E-1	9.797372818E0	9.798392321E0
2.039486160E-1	4.788549617E-3	-1.484450400E-1	9.797372818E0	9.798498507E0
2.059506820E-1	-4.788549617E-3	-1.580221355E-1	9.797372818E0	9.798648277E0
2.079521820E-1	-4.788549617E-3	-1.699935049E-1	9.792584419E0	9.794060972E0
2.099532820E-1	7.182824425E-3	-1.484450400E-1	9.809344292E0	9.810470068E0
2.119546150E-1	1.197137404E-2	-1.508393139E-1	9.802161217E0	9.803329043E0
2.139569150E-1	1.197137404E-2	-1.556278616E-1	9.811738014E0	9.812979476E0
2.159582810E-1	9.577099234E-3	-1.388679445E-1	9.809344292E0	9.810331873E0
2.179596470E-1	-1.197137404E-2	-1.340793967E-1	9.802161217E0	9.803085490E0
2.199609800E-1	-9.577099234E-3	-1.388679445E-1	9.816526413E0	9.817513272E0
2.219625800E-1	0.000000000E0	-1.484450400E-1	9.826104164E0	9.827225396E0
2.239639130E-1	0.000000000E0	-1.556278616E-1	9.814132690E0	9.815366549E0
2.259654790E-1	7.182824425E-3	-1.604164094E-1	9.797372818E0	9.798688645E0
2.279678120E-1	7.182824425E-3	-1.532335877E-1	9.794978142E0	9.796179302E0
2.299658780E-1	1.436564885E-2	-1.436564922E-1	9.794978142E0	9.796042076E0
2.319672110E-1	2.873129770E-2	-1.316851079E-1	9.794978142E0	9.795905433E0
2.339688110E-1	2.154847234E-2	-1.436564922E-1	9.790189743E0	9.791267371E0
2.359701440E-1	9.577099234E-3	-1.412622184E-1	9.799766541E0	9.800789304E0
2.379717100E-1	4.788549617E-3	-1.436564922E-1	9.816526413E0	9.817578670E0
2.399717100E-1	2.394274808E-3	-1.484450400E-1	9.809344292E0	9.810467731E0
2.419730430E-1	1.197137404E-2	-1.532335877E-1	9.794978142E0	9.796183984E0
2.439777760E-1	2.154847234E-2	-1.484450400E-1	9.794978142E0	9.796126636E0
2.459791090E-1	1.675992459E-2	-1.460507661E-1	9.794978142E0	9.796081284E0
2.479771750E-1	1.436564885E-2	-1.604164094E-1	9.787795067E0	9.789120086E0
2.499785080E-1	-2.394274808E-3	-1.628106833E-1	9.797372818E0	9.798725794E0
2.519759410E-1	9.577099234E-3	-1.484450400E-1	9.811738014E0	9.812865561E0
2.539772740E-1	1.197137404E-2	-1.388679445E-1	9.814132690E0	9.815122418E0
2.559786070E-1	0.000000000E0	-1.316851079E-1	9.828497887E0	9.829380025E0
2.579799400E-1	-2.394274808E-2	-1.436564922E-1	9.816526413E0	9.817606697E0
2.599812730E-1	-1.436564885E-2	-1.556278616E-1	9.816526413E0	9.817770481E0
2.619816390E-1	9.577099234E-3	-1.580221355E-1	9.806949615E0	9.808227336E0
2.639827390E-1	1.675992459E-2	-1.580221355E-1	9.809344292E0	9.810631342E0
2.659833390E-1	7.182824425E-3	-1.604164094E-1	9.804554939E0	9.805869802E0
2.679913050E-1	4.788549617E-3	-1.508393139E-1	9.792584419E0	9.793747242E0
2.699929050E-1	7.182824425E-3	-1.436564922E-1	9.799766541E0	9.800822059E0
2.719941380E-1	-2.394274808E-3	-1.340793967E-1	9.804554939E0	9.805471971E0
2.739968710E-1	9.577099234E-3	-1.364736706E-1	9.802161217E0	9.803115898E0
2.759982040E-1	1.197137404E-2	-1.412622184E-1	9.794978142E0	9.796004039E0
2.779998370E-1	1.436564885E-2	-1.364736706E-1	9.797372818E0	9.798333816E0
2.800012030E-1	9.577099234E-3	-1.292908341E-1	9.797372818E0	9.798230553E0
2.820023030E-1	0.000000000E0	-1.436564922E-1	9.806949615E0	9.808001731E0
2.840036360E-1	9.577099234E-3	-1.580221355E-1	9.814132690E0	9.815409476E0
2.860047020E-1	9.577099234E-3	-1.556278616E-1	9.814132690E0	9.815371222E0
2.880053020E-1	1.197137404E-2	-1.532335877E-1	9.804554939E0	9.805759604E0
2.900064680E-1	1.675992459E-2	-1.436564922E-1	9.785401344E0	9.786470127E0
2.920078340E-1	7.182824425E-3	-1.412622184E-1	9.790189743E0	9.791211458E0
2.940089340E-1	7.182824425E-3	-1.412622184E-1	9.804554939E0	9.805575157E0
2.960105340E-1	0.000000000E0	-1.508393139E-1	9.809344292E0	9.810503959E0
2.980116340E-1	9.577099234E-3	-1.532335877E-1	9.799766541E0	9.800969161E0
3.000129670E-1	9.577099234E-3	-1.556278616E-1	9.804554939E0	9.805794680E0
3.020143000E-1	1.197137404E-2	-1.412622184E-1	9.806949615E0	9.807974260E0
3.040090660E-1	1.675992459E-2	-1.460507661E-1	9.797372818E0	9.798475690E0
3.060101660E-1	1.197137404E-2	-1.532335877E-1	9.792584419E0	9.793790556E0
3.080117320E-1	7.182824425E-3	-1.628106833E-1	9.768641472E0	9.770000774E0
3.100129650E-1	2.154847234E-2	-1.532335877E-1	9.778218269E0	9.779442591E0
3.120142980E-1	1.197137404E-2	-1.532335877E-1	9.792584419E0	9.793790556E0
3.140156310E-1	9.577099234E-3	-1.556278616E-1	9.787795067E0	9.789036930E0
3.160172310E-1	2.633702382E-2	-1.628106833E-1	9.804554939E0	9.805942000E0
3.180183310E-1	2.394274808E-2	-1.580221355E-1	9.823709488E0	9.825009535E0
3.200198970E-1	7.182824425E-3	-1.508393139E-1	9.804554939E0	9.805717804E0
3.220212300E-1	0.000000000E0	-1.292908341E-1	9.797372818E0	9.798225873E0
3.240227960E-1	1.436564885E-2	-1.245022863E-1	9.806949615E0	9.807750402E0
3.260241620E-1	2.154847234E-2	-1.388679445E-1	9.797372818E0	9.798380620E0
3.280188950E-1	2.394274808E-2	-1.412622184E-1	9.792584419E0	9.793632517E0
3.300202280E-1	2.154847234E-2	-1.412622184E-1	9.802161217E0	9.803202735E0
3.320214610E-1	9.577099234E-3	-1.340793967E-1	9.830892563E0	9.831811511E0
3.340206940E-1	1.436564885E-2	-1.292908341E-1	9.826104164E0	9.826965225E0
3.360220270E-1	1.197137404E-2	-1.412622184E-1	9.806949615E0	9.807974260E0
3.380230600E-1	1.915419847E-2	-1.436564922E-1	9.814132690E0	9.815202725E0
3.400253260E-1	9.577099234E-3	-1.364736706E-1	9.804554939E0	9.805509387E0
3.420268920E-1	1.675992459E-2	-1.580221355E-1	9.804554939E0	9.805842618E0
3.440279920E-1	1.197137404E-2	-1.484450400E-1	9.816526413E0	9.817656037E0
3.460296250E-1	-2.394274808E-3	-1.316851079E-1	9.818921089E0	9.819804380E0
3.480307250E-1	4.788549617E-3	-1.460507661E-1	9.802161217E0	9.803250393E0
3.500322580E-1	1.436564885E-2	-1.268965602E-1	9.799766541E0	9.800598622E0
3.520332910E-1	1.436564885E-2	-1.221080124E-1	9.797372818E0	9.798144257E0
3.540346240E-1	9.577099234E-3	-1.388679445E-1	9.818921089E0	9.819907707E0
3.560362570E-1	4.788549617E-3	-1.556278616E-1	9.814132690E0	9.815367717E0
