"Time (s)"	"Magnetic Field x (µT)"	"Magnetic Field y (µT)"	"Magnetic Field z (µT)"	"Absolute field (µT)"
1.271157425E0	1.199999973E-1	2.297999954E1	-4.055999756E1	4.661768099E1
1.281188325E0	1.199999973E-1	2.268000031E1	-4.079999924E1	4.668015372E1
1.291219225E0	3.599999845E-1	2.226000023E1	-4.031999969E1	4.605800241E1
1.301250091E0	0.000000000E0	2.250000000E1	-4.097999954E1	4.675051190E1
1.311281024E0	2.999999821E-1	2.237999916E1	-4.139999771E1	4.706287468E1
1.321311890E0	1.799999923E-1	2.231999969E1	-4.121999741E1	4.687539837E1
1.331342790E0	0.000000000E0	2.202000046E1	-4.134000015E1	4.683883040E1
1.341373656E0	1.199999973E-1	2.207999992E1	-4.121999741E1	4.676140484E1
1.351404556E0	5.399999619E-1	2.189999962E1	-4.055999756E1	4.609788482E1
1.361435456E0	7.799999714E-1	2.147999954E1	-4.031999969E1	4.569136850E1
1.371499656E0	5.399999619E-1	2.171999931E1	-4.091999817E1	4.633029484E1
1.381597189E0	2.399999946E-1	2.226000023E1	-4.139999771E1	4.700558499E1
1.391694722E0	-2.399999946E-1	2.231999969E1	-4.181999969E1	4.740413865E1
1.401792255E0	-5.399999619E-1	2.279999924E1	-4.223999786E1	4.800363512E1
1.411856455E0	-8.399999738E-1	2.310000038E1	-4.193999863E1	4.788819377E1
1.421920688E0	-7.799999714E-1	2.279999924E1	-4.170000076E1	4.753249866E1
1.431984888E0	-6.599999666E-1	2.315999985E1	-4.163999939E1	4.765197522E1
1.442015754E0	-8.999999762E-1	2.327999878E1	-4.193999863E1	4.797636739E1
1.452046587E0	-3.599999845E-1	2.285999870E1	-4.187999725E1	4.771418354E1
1.462077487E0	-4.199999869E-1	2.243999863E1	-4.187999725E1	4.751488302E1
1.472108353E0	-5.399999619E-1	2.243999863E1	-4.205999756E1	4.767482074E1
1.482139253E0	-3.599999845E-1	2.226000023E1	-4.205999756E1	4.758866046E1
1.492170119E0	-5.999999642E-1	2.268000031E1	-4.241999817E1	4.810611872E1
1.502200985E0	-6.599999666E-1	2.321999931E1	-4.265999985E1	4.857447432E1
1.512231885E0	-8.999999762E-1	2.334000015E1	-4.307999802E1	4.900461036E1
1.522262751E0	-7.799999714E-1	2.345999908E1	-4.271999741E1	4.874400615E1
1.532293651E0	-6.599999666E-1	2.327999878E1	-4.211999893E1	4.812991017E1
1.542324517E0	-4.799999893E-1	2.310000038E1	-4.223999786E1	4.814621311E1
1.552355417E0	-2.999999821E-1	2.297999954E1	-4.157999802E1	4.750859516E1
1.562386283E0	0.000000000E0	2.273999977E1	-4.121999741E1	4.707648857E1
1.572417183E0	-1.799999923E-1	2.292000008E1	-4.170000076E1	4.758412411E1
1.582448083E0	-5.999999642E-1	2.279999924E1	-4.175999832E1	4.758253277E1
1.592478949E0	-5.999999642E-1	2.273999977E1	-4.200000000E1	4.776471071E1
1.602509849E0	-9.599999785E-1	2.292000008E1	-4.259999847E1	4.838396298E1
1.612540682E0	-7.199999690E-1	2.261999893E1	-4.254000092E1	4.818541719E1
1.622571582E0	-5.999999866E-2	2.285999870E1	-4.223999786E1	4.802916364E1
1.632602448E0	2.399999946E-1	2.285999870E1	-4.223999786E1	4.802972580E1
1.642633348E0	8.999999762E-1	2.285999870E1	-4.211999893E1	4.793207538E1
1.652664214E0	5.399999619E-1	2.303999901E1	-4.175999832E1	4.769728099E1
1.662695080E0	1.799999923E-1	2.321999931E1	-4.200000000E1	4.799167395E1
1.672692646E0	1.799999923E-1	2.285999870E1	-4.175999832E1	4.760787120E1
1.682657046E0	-3.599999845E-1	2.231999969E1	-4.152000046E1	4.714045422E1
1.692621312E0	-2.399999946E-1	2.165999985E1	-4.157999802E1	4.688399971E1
1.702585545E0	0.000000000E0	2.142000008E1	-4.091999817E1	4.618725640E1
1.712583111E0	5.999999866E-2	2.165999985E1	-4.068000031E1	4.608710902E1
1.722580677E0	3.599999845E-1	2.207999992E1	-4.079999924E1	4.639284357E1
1.732578243E0	6.599999666E-1	2.268000031E1	-4.104000092E1	4.689455927E1
1.742575776E0	6.599999666E-1	2.255999947E1	-4.104000092E1	4.683664005E1
1.752573342E0	2.999999821E-1	2.237999916E1	-4.104000092E1	4.674650829E1
1.762570908E0	5.999999642E-1	2.219999886E1	-4.050000000E1	4.618928392E1
1.772569041E0	7.799999714E-1	2.171999931E1	-3.995999908E1	4.548811160E1
1.782566607E0	1.139999986E0	2.160000038E1	-4.013999939E1	4.559692059E1
1.792564173E0	1.559999943E0	2.160000038E1	-3.989999771E1	4.539827567E1
1.802561739E0	6.599999666E-1	2.165999985E1	-4.050000000E1	4.593300767E1
1.812559272E0	2.999999821E-1	2.219999886E1	-4.115999985E1	4.676617941E1
1.822556838E0	-3.599999845E-1	2.273999977E1	-4.163999939E1	4.744604029E1
1.832554371E0	-2.399999946E-1	2.297999954E1	-4.218000031E1	4.803426282E1
1.842551937E0	-1.199999973E-1	2.315999985E1	-4.211999893E1	4.806760139E1
1.852549503E0	-1.199999973E-1	2.310000038E1	-4.181999969E1	4.777590179E1
1.862547069E0	-1.199999973E-1	2.261999893E1	-4.139999771E1	4.717667392E1
1.872544635E0	-5.399999619E-1	2.273999977E1	-4.121999741E1	4.707958555E1
1.882542201E0	-1.799999923E-1	2.219999886E1	-4.073999786E1	4.639633364E1
1.892539767E0	-3.599999845E-1	2.213999939E1	-4.115999985E1	4.673815102E1
1.902537300E0	-5.399999619E-1	2.231999969E1	-4.145999908E1	4.708933542E1
1.912534900E0	-1.199999973E-1	2.231999969E1	-4.145999908E1	4.708639199E1
1.922532433E0	-1.799999923E-1	2.315999985E1	-4.211999893E1	4.806778862E1
1.932529999E0	5.999999866E-2	2.303999901E1	-4.163999939E1	4.758922886E1
1.942527565E0	4.199999869E-1	2.303999901E1	-4.145999908E1	4.743363235E1
1.952525131E0	-5.999999866E-2	2.303999901E1	-4.181999969E1	4.774680648E1
1.962522697E0	-2.999999821E-1	2.285999870E1	-4.152000046E1	4.739810100E1
1.972521097E0	-8.399999738E-1	2.279999924E1	-4.127999878E1	4.716549443E1
1.982518463E0	-4.799999893E-1	2.213999939E1	-4.086000061E1	4.647525818E1
1.992515963E0	-7.799999714E-1	2.202000046E1	-4.043999863E1	4.605303800E1
