"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
2.079404960E-1	4.309694469E-2	-1.316851079E-1	9.857229233E0	9.858203004E0
2.099465620E-1	3.351984918E-2	-1.221080124E-1	9.864412308E0	9.865224991E0
2.119478950E-1	2.154847234E-2	-1.292908341E-1	9.850046158E0	9.850918220E0
2.139492280E-1	3.351984918E-2	-1.412622184E-1	9.845257759E0	9.846328196E0
2.159505940E-1	3.830839694E-2	-1.364736706E-1	9.857229233E0	9.858248361E0
2.179519270E-1	3.112557158E-2	-1.173194647E-1	9.883566856E0	9.884312139E0
2.199532600E-1	2.873129770E-2	-1.245022863E-1	9.854835510E0	9.855663815E0
2.219546260E-1	2.873129770E-2	-1.221080124E-1	9.847652435E0	9.848451368E0
2.239559590E-1	2.394274808E-2	-1.221080124E-1	9.847652435E0	9.848438562E0
2.259572920E-1	3.591412306E-2	-1.245022863E-1	9.871595383E0	9.872445798E0
2.279586580E-1	3.591412306E-2	-1.268965602E-1	9.878777504E0	9.879657764E0
2.299599910E-1	4.549122229E-2	-1.173194647E-1	9.869200706E0	9.870002831E0
2.319613240E-1	3.591412306E-2	-1.173194647E-1	9.866806030E0	9.867568845E0
2.339626900E-1	3.112557158E-2	-1.412622184E-1	9.859623909E0	9.860684938E0
2.359640230E-1	3.830839694E-2	-1.340793967E-1	9.854835510E0	9.855822023E0
2.379653560E-1	3.591412306E-2	-1.221080124E-1	9.847652435E0	9.848474942E0
2.399639890E-1	4.070267081E-2	-1.173194647E-1	9.862017632E0	9.862799416E0
2.419653220E-1	3.591412306E-2	-1.316851079E-1	9.854835510E0	9.855780726E0
2.439666550E-1	3.351984918E-2	-1.125309169E-1	9.859623909E0	9.860323038E0
2.459716550E-1	2.633702382E-2	-1.197137386E-1	9.864412308E0	9.865173855E0
2.479729880E-1	2.873129770E-2	-1.221080124E-1	9.864412308E0	9.865209883E0
2.499743210E-1	3.830839694E-2	-1.245022863E-1	9.871595383E0	9.872454799E0
2.519792540E-1	3.591412306E-2	-1.268965602E-1	9.847652435E0	9.848535477E0
2.539805870E-1	3.351984918E-2	-1.292908341E-1	9.857229233E0	9.858134096E0
2.559819200E-1	3.830839694E-2	-1.197137386E-1	9.866806030E0	9.867606607E0
2.579898530E-1	4.070267081E-2	-1.221080124E-1	9.859623909E0	9.860464021E0
2.599911860E-1	3.112557158E-2	-1.221080124E-1	9.854835510E0	9.855641131E0
2.619925190E-1	3.830839694E-2	-1.316851079E-1	9.859623909E0	9.860577677E0
2.639938850E-1	3.112557158E-2	-1.460507661E-1	9.871595383E0	9.872724803E0
2.659952180E-1	2.633702382E-2	-1.460507661E-1	9.883566856E0	9.884680990E0
2.679965510E-1	2.873129770E-2	-1.484450400E-1	9.885960579E0	9.887116768E0
2.699931840E-1	2.873129770E-2	-1.245022863E-1	9.878777504E0	9.879603802E0
2.719945170E-1	3.351984918E-2	-1.173194647E-1	9.866806030E0	9.867560422E0
2.739958500E-1	3.351984918E-2	-1.197137386E-1	9.869200706E0	9.869983665E0
2.759971830E-1	3.351984918E-2	-1.364736706E-1	9.869200706E0	9.870201175E0
2.779985160E-1	3.830839694E-2	-1.221080124E-1	9.850046158E0	9.850877484E0
2.799998820E-1	4.309694469E-2	-1.173194647E-1	9.857229233E0	9.858021574E0
2.820078480E-1	4.070267081E-2	-1.268965602E-1	9.869200706E0	9.870100406E0
2.840091810E-1	3.351984918E-2	-1.364736706E-1	9.873989105E0	9.874989088E0
2.860105470E-1	3.112557158E-2	-1.460507661E-1	9.881172180E0	9.882300506E0
2.880118800E-1	3.112557158E-2	-1.316851079E-1	9.883566856E0	9.884493086E0
2.900132130E-1	4.309694469E-2	-1.292908341E-1	9.873989105E0	9.874929585E0
2.920145790E-1	2.394274808E-2	-1.340793967E-1	9.864412308E0	9.865352539E0
2.940156450E-1	2.394274808E-2	-1.292908341E-1	9.857229233E0	9.858106183E0
2.960169780E-1	3.591412306E-2	-1.149251908E-1	9.857229233E0	9.857964586E0
2.980183440E-1	4.309694469E-2	-1.149251908E-1	9.857229233E0	9.857993371E0
3.000197100E-1	4.070267081E-2	-1.268965602E-1	9.857229233E0	9.858130025E0
3.020210430E-1	3.830839694E-2	-1.245022863E-1	9.854835510E0	9.855696388E0
3.040224090E-1	5.027977005E-2	-1.173194647E-1	9.857229233E0	9.858055592E0
3.060194420E-1	4.549122229E-2	-1.149251908E-1	9.864412308E0	9.865186639E0
3.080207750E-1	5.027977005E-2	-1.221080124E-1	9.869200706E0	9.870084144E0
3.100221410E-1	4.788549617E-2	-1.436564922E-1	9.847652435E0	9.848816614E0
3.120199070E-1	4.309694469E-2	-1.388679445E-1	9.864412308E0	9.865483862E0
3.140212400E-1	4.309694469E-2	-1.412622184E-1	9.866806030E0	9.867911309E0
3.160226060E-1	3.112557158E-2	-1.221080124E-1	9.845257759E0	9.846064163E0
3.180170720E-1	1.197137404E-2	-1.268965602E-1	9.862017632E0	9.862841265E0
3.200184050E-1	4.788549617E-3	-1.268965602E-1	9.862017632E0	9.862835162E0
3.220197710E-1	2.154847234E-2	-1.268965602E-1	9.866806030E0	9.867645530E0
3.240211040E-1	3.591412306E-2	-1.101366431E-1	9.873989105E0	9.874668640E0
3.260224370E-1	4.070267081E-2	-1.245022863E-1	9.869200706E0	9.870069914E0
3.280238030E-1	2.154847234E-2	-1.292908341E-1	9.854835510E0	9.855707148E0
3.300248690E-1	1.675992459E-2	-1.149251908E-1	9.864412308E0	9.865095989E0
3.320262020E-1	3.591412306E-2	-1.173194647E-1	9.864412308E0	9.865175308E0
3.340275680E-1	4.070267081E-2	-1.197137386E-1	9.857229233E0	9.858040182E0
3.360286340E-1	2.154847234E-2	-1.101366431E-1	9.857229233E0	9.857868054E0
3.380299670E-1	3.591412306E-2	-1.149251908E-1	9.857229233E0	9.857964586E0
3.400313000E-1	3.351984918E-2	-1.197137386E-1	9.852440834E0	9.853225124E0
3.420260000E-1	3.591412306E-2	-1.197137386E-1	9.857229233E0	9.858021574E0
3.440273330E-1	3.830839694E-2	-1.388679445E-1	9.842864037E0	9.843918137E0
3.460286660E-1	3.830839694E-2	-1.316851079E-1	9.840469360E0	9.841424985E0
3.480297320E-1	4.070267081E-2	-1.245022863E-1	9.864412308E0	9.865281937E0
3.500310980E-1	3.112557158E-2	-1.221080124E-1	9.862017632E0	9.862822666E0
3.520324310E-1	3.351984918E-2	-1.173194647E-1	9.878777504E0	9.879530981E0
3.540340310E-1	3.112557158E-2	-1.245022863E-1	9.881172180E0	9.882005529E0
3.560353970E-1	4.309694469E-2	-1.316851079E-1	9.864412308E0	9.865385370E0
3.580367300E-1	2.394274808E-2	-1.364736706E-1	9.883566856E0	9.884538033E0
3.600380630E-1	2.633702382E-2	-1.316851079E-1	9.893143654E0	9.894055082E0
3.620394290E-1	4.309694469E-2	-1.364736706E-1	9.876383781E0	9.877420666E0
3.640407620E-1	4.070267081E-2	-1.197137386E-1	9.859623909E0	9.860434661E0
3.660425620E-1	3.591412306E-2	-1.173194647E-1	9.866806030E0	9.867568845E0
3.680439280E-1	2.873129770E-2	-1.221080124E-1	9.854835510E0	9.855633860E0
3.700452610E-1	3.591412306E-2	-1.101366431E-1	9.847652435E0	9.848333788E0
3.720465940E-1	3.830839694E-2	-1.149251908E-1	9.850046158E0	9.850791067E0
3.740479600E-1	3.112557158E-2	-1.292908341E-1	9.828497887E0	9.829397521E0
3.760492930E-1	3.112557158E-2	-1.173194647E-1	9.854835510E0	9.855582966E0
3.780506590E-1	2.154847234E-2	-1.221080124E-1	9.873989105E0	9.874767620E0
3.800520250E-1	3.112557158E-2	-1.268965602E-1	9.878777504E0	9.879641517E0
3.820533580E-1	2.154847234E-2	-1.340793967E-1	9.873989105E0	9.874922910E0
3.840546910E-1	2.873129770E-2	-1.149251908E-1	9.878777504E0	9.879487753E0
3.860560570E-1	3.351984918E-2	-1.197137386E-1	9.866806030E0	9.867589179E0
3.880573900E-1	3.830839694E-2	-1.173194647E-1	9.859623909E0	9.860396291E0
3.900589900E-1	3.351984918E-2	-1.149251908E-1	9.857229233E0	9.857956154E0
3.920603560E-1	3.351984918E-2	-1.101366431E-1	9.869200706E0	9.869872149E0
3.940616890E-1	3.830839694E-2	-1.173194647E-1	9.854835510E0	9.855608268E0
3.960698550E-1	4.070267081E-2	-1.245022863E-1	9.862017632E0	9.862887472E0
3.980712210E-1	3.830839694E-2	-1.268965602E-1	9.852440834E0	9.853332465E0
