"Time (s)"	"Magnetic Field x (µT)"	"Magnetic Field y (µT)"	"Magnetic Field z (µT)"	"Absolute field (µT)"
9.209438830E-1	-1.799999923E-1	3.570000076E1	-3.185999870E1	4.784957651E1
9.309747830E-1	-5.999999642E-1	3.600000000E1	-3.167999840E1	4.795813068E1
9.410056490E-1	0.000000000E0	3.605999756E1	-3.137999916E1	4.780196409E1
9.510365490E-1	-1.199999973E-1	3.611999893E1	-3.173999977E1	4.808426258E1
9.610674150E-1	-5.999999866E-2	3.636000061E1	-3.185999870E1	4.834369413E1
9.710983150E-1	2.399999946E-1	3.636000061E1	-3.209999847E1	4.850275401E1
9.811291810E-1	4.799999893E-1	3.665999985E1	-3.245999908E1	4.896771926E1
9.911600810E-1	4.799999893E-1	3.629999924E1	-3.227999878E1	4.857899408E1
1.001190981E0	4.799999893E-1	3.623999786E1	-3.185999870E1	4.825585314E1
1.011221847E0	4.799999893E-1	3.593999863E1	-3.161999893E1	4.787210288E1
1.021252747E0	0.000000000E0	3.552000046E1	-3.119999886E1	4.727695381E1
1.031283580E0	1.799999923E-1	3.581999969E1	-3.119999886E1	4.750310207E1
1.041314480E0	1.799999923E-1	3.570000076E1	-3.089999962E1	4.721580700E1
1.051345346E0	0.000000000E0	3.593999863E1	-3.101999855E1	4.747550749E1
1.061376246E0	-2.999999821E-1	3.629999924E1	-3.131999969E1	4.794499271E1
1.071407112E0	-7.199999690E-1	3.659999847E1	-3.173999977E1	4.845106680E1
1.081438045E0	-9.599999785E-1	3.677999878E1	-3.215999985E1	4.886671158E1
1.091468945E0	-1.139999986E0	3.671999741E1	-3.204000092E1	4.874648160E1
1.101499778E0	-6.599999666E-1	3.647999954E1	-3.204000092E1	4.855705536E1
1.111530678E0	-5.399999619E-1	3.623999786E1	-3.192000008E1	4.829612252E1
1.121561544E0	-7.199999690E-1	3.593999863E1	-3.221999741E1	4.827349308E1
1.131592444E0	-2.999999821E-1	3.575999832E1	-3.252000046E1	4.833650701E1
1.141623277E0	-2.999999821E-1	3.552000046E1	-3.204000092E1	4.783640968E1
1.151654177E0	-5.999999866E-2	3.521999741E1	-3.185999870E1	4.749222394E1
1.161685043E0	2.999999821E-1	3.509999847E1	-3.131999969E1	4.704298326E1
1.171715909E0	5.999999866E-2	3.509999847E1	-3.095999908E1	4.680315199E1
1.181713375E0	5.999999866E-2	3.557999802E1	-3.155999947E1	4.756020842E1
1.191710941E0	-5.999999866E-2	3.600000000E1	-3.150000000E1	4.783569379E1
1.201708507E0	2.399999946E-1	3.647999954E1	-3.185999870E1	4.843456910E1
1.211706073E0	7.199999690E-1	3.611999893E1	-3.179999924E1	4.812912501E1
1.221703639E0	7.199999690E-1	3.593999863E1	-3.143999863E1	4.775641753E1
1.231701172E0	7.799999714E-1	3.491999817E1	-3.101999855E1	4.671461208E1
1.241698738E0	9.599999785E-1	3.438000107E1	-3.042000008E1	4.591603726E1
1.251696271E0	8.999999762E-1	3.413999939E1	-3.000000000E1	4.545711780E1
1.261693837E0	1.079999924E0	3.395999908E1	-2.957999992E1	4.504913243E1
1.271691403E0	1.679999948E0	3.425999832E1	-2.939999962E1	4.517665174E1
1.281689036E0	1.379999995E0	3.420000076E1	-2.957999992E1	4.523848857E1
1.291686602E0	1.500000000E0	3.455999756E1	-2.951999855E1	4.547607883E1
1.301684135E0	1.620000005E0	3.425999832E1	-2.945999908E1	4.521353150E1
1.311681701E0	1.379999995E0	3.431999969E1	-2.981999969E1	4.548625244E1
1.321679234E0	1.319999933E0	3.438000107E1	-2.934000015E1	4.521683848E1
1.331676800E0	1.259999990E0	3.425999832E1	-2.945999908E1	4.520206446E1
1.341674366E0	1.199999928E0	3.468000031E1	-2.987999916E1	4.579254056E1
1.351671932E0	8.999999762E-1	3.527999878E1	-3.042000008E1	4.659253930E1
1.361669498E0	5.999999642E-1	3.575999832E1	-3.137999916E1	4.757984686E1
1.371667064E0	2.399999946E-1	3.623999786E1	-3.204000092E1	4.837309897E1
1.381664664E0	-1.199999973E-1	3.647999954E1	-3.252000046E1	4.887080106E1
1.391662197E0	-2.399999946E-1	3.623999786E1	-3.252000046E1	4.869235541E1
1.401659763E0	-3.599999845E-1	3.611999893E1	-3.227999878E1	4.844359859E1
1.411657296E0	-4.199999869E-1	3.623999786E1	-3.192000008E1	4.829492986E1
1.421654862E0	-4.799999893E-1	3.618000031E1	-3.155999947E1	4.801308560E1
1.431652428E0	-5.999999642E-1	3.654000092E1	-3.119999886E1	4.805175955E1
1.441649994E0	-5.399999619E-1	3.659999847E1	-3.143999863E1	4.825272015E1
1.451647560E0	-3.599999845E-1	3.611999893E1	-3.137999916E1	4.784859737E1
1.461645126E0	-2.399999946E-1	3.611999893E1	-3.113999939E1	4.769079036E1
1.471642692E0	-5.999999866E-2	3.588000107E1	-3.137999916E1	4.766636575E1
1.481640058E0	-1.199999973E-1	3.581999969E1	-3.143999863E1	4.766088849E1
1.491637624E0	-2.399999946E-1	3.611999893E1	-3.167999840E1	4.804512693E1
1.501635157E0	-4.199999869E-1	3.623999786E1	-3.239999771E1	4.861351352E1
1.511632723E0	-4.799999893E-1	3.618000031E1	-3.270000076E1	4.876999971E1
1.521630289E0	-4.199999869E-1	3.618000031E1	-3.257999802E1	4.868906543E1
1.531627855E0	-2.399999946E-1	3.593999863E1	-3.275999832E1	4.863083992E1
1.541625421E0	-3.599999845E-1	3.593999863E1	-3.252000046E1	4.847023345E1
1.551622987E0	-4.199999869E-1	3.545999908E1	-3.161999893E1	4.751223282E1
1.561620553E0	-5.399999619E-1	3.527999878E1	-3.155999947E1	4.733923827E1
1.571618086E0	-7.799999714E-1	3.563999939E1	-3.119999886E1	4.737359903E1
1.581614452E0	-8.999999762E-1	3.534000015E1	-3.095999908E1	4.699199032E1
1.591611985E0	-1.019999981E0	3.600000000E1	-3.150000000E1	4.784652965E1
1.601609551E0	-6.599999666E-1	3.623999786E1	-3.137999916E1	4.794243832E1
1.611607117E0	-3.599999845E-1	3.581999969E1	-3.185999870E1	4.794018664E1
1.621604683E0	0.000000000E0	3.575999832E1	-3.197999954E1	4.797392886E1
1.631602249E0	0.000000000E0	3.557999802E1	-3.192000008E1	4.779981866E1
1.641599782E0	-4.799999893E-1	3.534000015E1	-3.179999924E1	4.754351651E1
1.651597348E0	-8.399999738E-1	3.539999771E1	-3.119999886E1	4.719433617E1
1.661594914E0	-5.399999619E-1	3.539999771E1	-3.119999886E1	4.718994985E1
1.671592480E0	-3.599999845E-1	3.545999908E1	-3.143999863E1	4.739213699E1
1.681589980E0	1.199999973E-1	3.539999771E1	-3.131999969E1	4.726644284E1
1.691587546E0	0.000000000E0	3.539999771E1	-3.167999840E1	4.750560111E1
1.701585112E0	0.000000000E0	3.521999741E1	-3.167999840E1	4.737162142E1
1.711582712E0	-2.999999821E-1	3.509999847E1	-3.143999863E1	4.712296050E1
1.721580278E0	-2.399999946E-1	3.527999878E1	-3.197999954E1	4.761781478E1
1.731577811E0	-1.799999923E-1	3.557999802E1	-3.204000092E1	4.788037508E1
1.741575377E0	-4.199999869E-1	3.588000107E1	-3.215999985E1	4.818523080E1
1.751572910E0	-1.799999923E-1	3.623999786E1	-3.239999771E1	4.861203243E1
1.761570476E0	-4.199999869E-1	3.593999863E1	-3.234000015E1	4.835013455E1
1.771568042E0	-1.799999923E-1	3.605999756E1	-3.252000046E1	4.855827688E1
1.781565775E0	-2.399999946E-1	3.623999786E1	-3.197999954E1	4.833337787E1
1.791563375E0	-4.199999869E-1	3.600000000E1	-3.179999924E1	4.803557381E1
1.801560941E0	-5.399999619E-1	3.618000031E1	-3.150000000E1	4.797430585E1
1.811558507E0	-7.199999690E-1	3.611999893E1	-3.143999863E1	4.789202686E1
1.821556040E0	-7.799999714E-1	3.611999893E1	-3.204000092E1	4.828896749E1
1.831553606E0	-3.599999845E-1	3.600000000E1	-3.234000015E1	4.839426836E1
1.841551139E0	-5.999999642E-1	3.611999893E1	-3.252000046E1	4.860622134E1
1.851548705E0	-6.599999666E-1	3.623999786E1	-3.257999802E1	4.873632440E1
1.861546271E0	-1.799999923E-1	3.605999756E1	-3.221999741E1	4.835787482E1
1.871543837E0	-3.599999845E-1	3.611999893E1	-3.185999870E1	4.816475309E1
1.881542537E0	-2.999999821E-1	3.611999893E1	-3.185999870E1	4.816434200E1
1.891540103E0	0.000000000E0	3.593999863E1	-3.167999840E1	4.790934982E1
1.901537669E0	-3.599999845E-1	3.600000000E1	-3.161999893E1	4.791611349E1
1.911501902E0	-4.799999893E-1	3.581999969E1	-3.179999924E1	4.790138547E1
1.921466135E0	-3.599999845E-1	3.605999756E1	-3.197999954E1	4.819930907E1
1.931430368E0	-3.599999845E-1	3.593999863E1	-3.227999878E1	4.830953759E1
1.941394601E0	-5.999999642E-1	3.618000031E1	-3.234000015E1	4.853069165E1
1.951358834E0	-5.399999619E-1	3.636000061E1	-3.252000046E1	4.878413343E1
1.961323034E0	-4.199999869E-1	3.593999863E1	-3.185999870E1	4.803040098E1
1.971287267E0	-1.799999923E-1	3.527999878E1	-3.084000015E1	4.685953823E1
1.981251500E0	5.399999619E-1	3.491999817E1	-3.047999954E1	4.635437675E1
1.991217266E0	8.399999738E-1	3.504000092E1	-3.011999893E1	4.621386805E1
2.001181499E0	1.019999981E0	3.504000092E1	-3.042000008E1	4.641355910E1
2.011145699E0	6.599999666E-1	3.545999908E1	-3.131999969E1	4.731584846E1
2.021109932E0	2.399999946E-1	3.552000046E1	-3.167999840E1	4.759569656E1
2.031074165E0	5.999999866E-2	3.539999771E1	-3.137999916E1	4.730610727E1
2.041038398E0	3.599999845E-1	3.534000015E1	-3.161999893E1	4.742224734E1
2.051002631E0	4.799999893E-1	3.545999908E1	-3.155999947E1	4.747289228E1
2.060966864E0	5.999999866E-2	3.605999756E1	-3.126000023E1	4.772331336E1
2.070931097E0	1.799999923E-1	3.521999741E1	-3.077999878E1	4.677487512E1
2.080895330E0	1.799999923E-1	3.509999847E1	-2.976000023E1	4.601847354E1
2.090859530E0	1.199999973E-1	3.509999847E1	-3.000000000E1	4.617384858E1
2.100823763E0	5.399999619E-1	3.468000031E1	-3.029999924E1	4.605522744E1
2.110787996E0	4.199999869E-1	3.545999908E1	-3.143999863E1	4.739263074E1
2.120752229E0	2.399999946E-1	3.611999893E1	-3.252000046E1	4.860311052E1
2.130716462E0	-5.999999866E-2	3.611999893E1	-3.204000092E1	4.828270479E1
2.140680695E0	-1.199999973E-1	3.593999863E1	-3.173999977E1	4.794919694E1
2.150644928E0	-2.399999946E-1	3.570000076E1	-3.150000000E1	4.761089848E1
2.160609161E0	-4.799999893E-1	3.552000046E1	-3.119999886E1	4.727939045E1
2.170573394E0	-1.799999923E-1	3.563999939E1	-3.137999916E1	4.748627490E1
2.180537627E0	-4.199999869E-1	3.563999939E1	-3.185999870E1	4.780633299E1
2.190501860E0	-5.999999642E-1	3.563999939E1	-3.155999947E1	4.760885551E1
2.200466093E0	-5.999999642E-1	3.570000076E1	-3.173999977E1	4.777318955E1
2.210463626E0	-5.399999619E-1	3.557999802E1	-3.150000000E1	4.752344536E1
2.220461192E0	-3.599999845E-1	3.521999741E1	-3.119999886E1	4.705335000E1
2.230492058E0	0.000000000E0	3.504000092E1	-3.131999969E1	4.699727700E1
2.240522958E0	5.399999619E-1	3.497999954E1	-3.065999985E1	4.651803477E1
2.250553824E0	5.399999619E-1	3.479999924E1	-3.053999901E1	4.630359690E1
2.260584724E0	9.599999785E-1	3.491999817E1	-2.981999969E1	4.592994942E1
2.270615590E0	1.019999981E0	3.479999924E1	-2.945999908E1	4.560670886E1
2.280646456E0	9.599999785E-1	3.431999969E1	-2.976000023E1	4.543612651E1
2.290675822E0	8.399999738E-1	3.413999939E1	-3.005999947E1	4.549559018E1
2.300706755E0	1.019999981E0	3.431999969E1	-3.095999908E1	4.623228658E1
2.310737655E0	7.799999714E-1	3.461999893E1	-3.137999916E1	4.673175658E1
2.320768521E0	5.399999619E-1	3.461999893E1	-3.101999855E1	4.648737717E1
2.330799421E0	4.799999893E-1	3.521999741E1	-3.071999931E1	4.673753283E1
2.340830287E0	2.399999946E-1	3.545999908E1	-3.023999977E1	4.660393461E1
2.350861187E0	7.199999690E-1	3.515999985E1	-2.957999992E1	4.595345890E1
2.360892053E0	8.399999738E-1	3.539999771E1	-3.017999840E1	4.652631235E1
2.370922919E0	1.199999928E0	3.497999954E1	-3.035999870E1	4.633324820E1
2.380953819E0	1.319999933E0	3.461999893E1	-3.035999870E1	4.606534757E1
2.390984685E0	1.379999995E0	3.491999817E1	-3.077999878E1	4.656950716E1
2.401015585E0	1.379999995E0	3.479999924E1	-3.035999870E1	4.620253097E1
2.411046451E0	1.259999990E0	3.486000061E1	-3.029999924E1	4.620494775E1
2.421077351E0	7.199999690E-1	3.491999817E1	-3.000000000E1	4.604263972E1
2.431108217E0	1.799999923E-1	3.497999954E1	-3.000000000E1	4.608289019E1
2.441139117E0	2.399999946E-1	3.486000061E1	-2.993999863E1	4.595302776E1
2.451170017E0	4.199999869E-1	3.486000061E1	-2.915999985E1	4.544999047E1
2.461200883E0	8.999999762E-1	3.497999954E1	-2.934000015E1	4.566449361E1
2.471231783E0	1.319999933E0	3.486000061E1	-2.915999985E1	4.546721493E1
2.481262683E0	1.379999995E0	3.504000092E1	-2.879999924E1	4.537781418E1
2.491293583E0	1.139999986E0	3.521999741E1	-2.963999939E1	4.604646980E1
2.501324449E0	1.019999981E0	3.497999954E1	-2.976000023E1	4.593798408E1
2.511355349E0	1.019999981E0	3.521999741E1	-3.005999947E1	4.631513991E1
2.521386215E0	5.399999619E-1	3.557999802E1	-3.077999878E1	4.704929525E1
2.531383781E0	5.999999642E-1	3.521999741E1	-3.042000008E1	4.654228853E1
2.541381347E0	6.599999666E-1	3.504000092E1	-2.987999916E1	4.605487611E1
2.551378913E0	4.799999893E-1	3.504000092E1	-2.957999992E1	4.585857019E1
2.561376479E0	7.199999690E-1	3.479999924E1	-2.915999985E1	4.540775196E1
2.571407412E0	6.599999666E-1	3.468000031E1	-2.957999992E1	4.558634024E1
2.581438312E0	7.199999690E-1	3.497999954E1	-3.005999947E1	4.612724071E1
2.591475878E0	6.599999666E-1	3.450000000E1	-3.000000000E1	4.572401557E1
2.601540044E0	6.599999666E-1	3.479999924E1	-3.029999924E1	4.614721552E1
2.611604244E0	9.599999785E-1	3.504000092E1	-2.993999863E1	4.609909741E1
2.621668477E0	1.199999928E0	3.486000061E1	-3.005999947E1	4.604631593E1
2.631732677E0	1.259999990E0	3.504000092E1	-3.035999870E1	4.638015508E1
2.641796943E0	1.620000005E0	3.431999969E1	-2.981999969E1	4.549416623E1
2.651861143E0	9.599999785E-1	3.420000076E1	-3.035999870E1	4.574156942E1
2.661925376E0	4.799999893E-1	3.425999832E1	-3.029999924E1	4.573912809E1
2.671989576E0	2.399999946E-1	3.455999756E1	-3.029999924E1	4.596238663E1
2.682053776E0	-1.799999923E-1	3.504000092E1	-3.077999878E1	4.663949388E1
2.692119442E0	-4.199999869E-1	3.534000015E1	-3.113999939E1	4.710405049E1
2.702183642E0	-3.599999845E-1	3.593999863E1	-3.167999840E1	4.791070235E1
2.712247875E0	-4.799999893E-1	3.618000031E1	-3.209999847E1	4.836975009E1
2.722312075E0	-4.199999869E-1	3.647999954E1	-3.275999832E1	4.903248165E1
2.732376308E0	1.199999973E-1	3.623999786E1	-3.275999832E1	4.885252640E1
2.742440508E0	3.599999845E-1	3.593999863E1	-3.252000046E1	4.847023345E1
2.752504708E0	3.599999845E-1	3.575999832E1	-3.252000046E1	4.833691663E1
2.762568908E0	3.599999845E-1	3.563999939E1	-3.227999878E1	4.808677030E1
2.772633108E0	2.999999821E-1	3.593999863E1	-3.185999870E1	4.802950154E1
2.782697274E0	4.799999893E-1	3.593999863E1	-3.137999916E1	4.771392091E1
2.792761474E0	7.199999690E-1	3.545999908E1	-3.042000008E1	4.672586371E1
2.802825707E0	7.199999690E-1	3.509999847E1	-3.005999947E1	4.621830655E1
2.812889907E0	3.599999845E-1	3.479999924E1	-2.993999863E1	4.590831150E1
2.822954173E0	-3.599999845E-1	3.473999786E1	-3.042000008E1	4.617762939E1
2.833018373E0	-5.999999642E-1	3.504000092E1	-3.126000023E1	4.696114648E1
2.843082573E0	-6.599999666E-1	3.491999817E1	-3.107999992E1	4.675262845E1
2.853146773E0	-6.599999666E-1	3.527999878E1	-3.137999916E1	4.722095151E1
2.863210973E0	-2.999999821E-1	3.539999771E1	-3.119999886E1	4.718781375E1
2.873241806E0	1.199999973E-1	3.545999908E1	-3.119999886E1	4.723204276E1
2.883272672E0	4.799999893E-1	3.575999832E1	-3.101999855E1	4.734182284E1
2.893296872E0	1.079999924E0	3.521999741E1	-3.029999924E1	4.647262173E1
2.903294405E0	1.079999924E0	3.545999908E1	-3.029999924E1	4.665477348E1
2.913291971E0	7.799999714E-1	3.521999741E1	-3.042000008E1	4.654495700E1
2.923289504E0	4.199999869E-1	3.534000015E1	-3.107999992E1	4.706440700E1
2.933287070E0	-2.399999946E-1	3.593999863E1	-3.161999893E1	4.787029803E1
2.943284570E0	-5.399999619E-1	3.563999939E1	-3.185999870E1	4.780753783E1
2.953282136E0	-4.199999869E-1	3.605999756E1	-3.192000008E1	4.816000653E1
2.963279702E0	-3.599999845E-1	3.618000031E1	-3.173999977E1	4.813054755E1
2.973277302E0	-3.599999845E-1	3.618000031E1	-3.192000008E1	4.824943965E1
2.983274868E0	-2.999999821E-1	3.636000061E1	-3.197999954E1	4.842375466E1
2.993270968E0	-1.019999981E0	3.611999893E1	-3.173999977E1	4.809493017E1
3.003268534E0	-1.259999990E0	3.600000000E1	-3.192000008E1	4.812976215E1
3.013266067E0	-1.079999924E0	3.588000107E1	-3.167999840E1	4.787654097E1
3.023263667E0	-8.399999738E-1	3.581999969E1	-3.143999863E1	4.766813917E1
3.033261200E0	-2.999999821E-1	3.618000031E1	-3.179999924E1	4.816972466E1
3.043258766E0	-4.199999869E-1	3.636000061E1	-3.155999947E1	4.814830849E1
3.053256332E0	-1.199999973E-1	3.611999893E1	-3.150000000E1	4.792617993E1
3.063253898E0	-2.399999946E-1	3.575999832E1	-3.150000000E1	4.765590289E1
3.073251464E0	5.999999866E-2	3.515999985E1	-3.053999901E1	4.657167303E1
3.083249030E0	1.799999923E-1	3.479999924E1	-3.035999870E1	4.618226790E1
3.093246596E0	3.599999845E-1	3.473999786E1	-2.993999863E1	4.586284519E1
